chr	coordinate	ORF	internal	flag
chrI	9191	YAL067C	0	0
chrI	28211	YAL063C	0	0
chrI	31188	YAL062W	0	0
chrI	33359	YAL061W	0	0
chrI	35107	YAL060W	0	0
chrI	36559	YAL059W	1	0
chrI	37449	YAL058W	0	0
chrI	39215	YAL056W	0	0
chrI	42191	YAL055W	1	1
chrI	45744	YAL053W	0	0
chrI	52661	YAL049C	0	0
chrI	54825	YAL048C	0	0
chrI	57383	YAL046C	1	0
chrI	57517	YAL044W-A	0	0
chrI	58476	YAL044C	0	0
chrI	61076	YAL043C	0	0
chrI	61274	YAL042W	0	0
chrI	62776	YAL041W	0	0
chrI	67844	YAL040C	0	0
chrI	69581	YAL039C	0	0
chrI	71759	YAL038W	0	0
chrI	76189	YAL036C	0	0
chrI	76401	YAL035W	0	0
chrI	79689	YAL034W-A	0	0
chrI	82701	YAL033W	0	0
chrI	84494	YAL032C	0	0
chrI	87078	YAL031C	0	0
chrI	87264	YAL030W	0	0
chrI	92522	YAL029C	0	0
chrI	92854	YAL028W	0	0
chrI	94607	YAL027W	0	0
chrI	99783	YAL026C	0	0
chrI	101168	YAL025C	0	0
chrI	105976	YAL024C	0	0
chrI	108639	YAL023C	0	0
chrI	110446	YAL022C	0	0
chrI	113403	YAL021C	0	0
chrI	114630	YAL020C	0	0
chrI	114809	YAL019W	0	0
chrI	119858	YAL017W	0	0
chrI	124798	YAL016W	0	0
chrI	129067	YAL014C	0	0
chrI	129236	YAL013W	0	0
chrI	130744	YAL012W	0	0
chrI	132195	YAL011W	0	0
chrI	135706	YAL010C	0	0
chrI	135813	YAL009W	0	0
chrI	136866	YAL008W	0	0
chrI	138420	YAL007C	0	0
chrI	141493	YAL005C	0	0
chrI	142153	YAL003W	0	0
chrI	143551	YAL002W	0	0
chrI	151204	YAL001C	0	0
chrI	152215	YAR002W	0	0
chrI	154740	YAR002C-A	0	0
chrI	154951	YAR003W	0	0
chrI	158682	YAR007C	0	0
chrI	158868	YAR008W	0	0
chrI	169021	YAR014C	0	0
chrI	169272	YAR015W	0	0
chrI	171719	YAR018C	0	0
chrI	183688	YAR027W	0	0
chrI	184836	YAR028W	0	0
chrI	186997	YAR031W	1	0
chrI	188065	YAR033W	0	0
