# nucleosome dinucleotide model
# from to transition_prob
1 2 1.0
2 3 1.0
3 4 1.0
4 5 1.0
5 6 1.0
6 7 1.0
7 8 1.0
8 9 1.0
# 1 branched background state
9 10 0.308512
9 11 0.191488
9 12 0.191488
9 13 0.308512
10 14 0.329809777310846
10 15 0.191063547229387
10 16 0.198994736056843
10 17 0.280131939402924
11 14 0.333699307999924
11 15 0.216959684598234
11 16 0.163287823847597
11 17 0.286053183554245
12 14 0.310689223834294
12 15 0.210107429078215
12 16 0.212721970193603
12 17 0.266481376893888
13 14 0.205300934331057
13 15 0.222847661083372
13 16 0.232195750836503
13 17 0.339655653749068
14 18 0.325329417694187
14 19 0.193795599960531
14 20 0.202305657829311
14 21 0.27856932451597
15 18 0.331997994572666
15 19 0.219107785045552
15 20 0.163566290468297
15 21 0.285327929913485
16 18 0.306831481537608
16 19 0.214860016434912
16 20 0.212409163208195
16 21 0.265899338819286
17 18 0.206241262628909
17 19 0.226319452214931
17 20 0.235490593501497
17 21 0.331948691654663
18 22 0.326247274780036
18 23 0.193466893443899
18 24 0.202183217511485
18 25 0.27810261426458
19 22 0.332324320382226
19 23 0.219825207354379
19 24 0.162221457893132
19 25 0.285629014370263
20 22 0.306307193593469
20 23 0.217509114466148
20 24 0.210292766671365
20 25 0.265890925269019
21 22 0.208125812440417
21 23 0.228063452342478
21 24 0.235275106706276
21 25 0.328535628510829
22 26 0.332379448780265
22 27 0.190136019429581
22 28 0.199360902196419
22 29 0.278123629593735
23 26 0.334061063665947
23 27 0.219547124296962
23 28 0.160233671040074
23 29 0.286158140997017
24 26 0.30912754720124
24 27 0.216730946530236
24 28 0.206895768998002
24 29 0.267245737270522
25 26 0.211162501932649
25 27 0.227909251186856
25 28 0.231267805840975
25 29 0.32966044103952
26 30 0.340931574445711
26 31 0.184792880660302
26 32 0.194299901814007
26 33 0.279975643079981
27 30 0.33545339150961
27 31 0.218219877595773
27 32 0.157135115865231
27 33 0.289191615029386
28 30 0.313826541943687
