ORF,Chr,ORF Start,ORF End,Strand,TSS,TTS,+1 nucleosome,-1 nucleosome,NDR Center,NDR Width
YAL068C,chrI,2169,1807,-1,2169,1665,2386,2663,2525,130
YAL067C,chrI,9016,7235,-1,9191,7058,9172,9397,9285,78
YAL064W,chrI,21566,21850,1,21566,22160,21260,20641,20951,472
YAL063C,chrI,27968,24000,-1,28211,23927,28520,28844,28682,177
YAL062W,chrI,31567,32940,1,31188,33011,31158,30883,31021,128
YAL060W,chrI,35155,36303,1,35107,36387,35244,35058,35151,39
YAL059W,chrI,36509,37147,1,36559,37344,36587,36304,36446,136
YAL058W,chrI,37464,38972,1,37449,39011,37446,37232,37339,67
YAL056W,chrI,39259,41901,1,39215,41980,39270,38976,39123,147
YAL055W,chrI,42177,42719,1,42191,42790,42218,41904,42061,167
YAL054C,chrI,45022,42881,-1,45022,42718,45167,45802,45485,488
YAL053W,chrI,45899,48250,1,45744,48310,45802,45167,45485,488
YAL051W,chrI,48564,51707,1,48564,51856,48587,48245,48416,195
YAL049C,chrI,52595,51855,-1,52661,51719,52601,52879,52740,131
YAL048C,chrI,54789,52801,-1,54825,52616,54739,54944,54842,58
YAL047C,chrI,56857,54989,-1,56857,54937,56816,57038,56927,75
YAL046C,chrI,57385,57029,-1,57383,56911,57348,57564,57456,69
YAL044C,chrI,58462,57950,-1,58476,57868,58436,58695,58566,112
YAL043C,chrI,61052,58695,-1,61076,58626,61038,61336,61187,151
YAL042W,chrI,61316,62563,1,61274,62654,61336,61038,61187,151
YAL041W,chrI,62840,65404,1,62776,65463,62814,62549,62682,118
YAL040C,chrI,67520,65778,-1,67844,65601,67839,68730,68285,744
YAL039C,chrI,69525,68716,-1,69581,68654,69521,69991,69756,323
YAL038W,chrI,71786,73288,1,71759,73452,71842,70796,71319,899
YAL036C,chrI,76152,75043,-1,76189,74850,76159,76449,76304,143
YAL035W,chrI,76427,79435,1,76401,79555,76449,76159,76304,143
YAL034W-A,chrI,79718,80587,1,79689,80675,79736,79467,79602,122
YAL034C,chrI,81951,80710,-1,81951,80563,81980,82219,82100,92
YAL033W,chrI,82706,83227,1,82701,83299,82763,82522,82643,94
YAL032C,chrI,84474,83335,-1,84494,83204,84453,84715,84584,115
YAL031C,chrI,87031,84749,-1,87078,84595,87041,87312,87177,124
YAL030W,chrI,87286,87752,1,87264,87862,87312,87041,87177,124
YAL029C,chrI,92270,87855,-1,92522,87695,92471,92904,92688,286
YAL028W,chrI,92900,94486,1,92854,94606,92904,92471,92688,286
YAL027W,chrI,94687,95472,1,94607,95578,94687,94465,94576,75
YAL026C,chrI,99697,95630,-1,99783,95482,99739,99972,99856,86
YAL025C,chrI,101145,100225,-1,101168,100022,101143,101433,101288,143
YAL024C,chrI,105872,101565,-1,105976,101371,105922,106203,106063,134
YAL023C,chrI,108551,106272,-1,108639,106143,108612,108922,108767,163
YAL022C,chrI,110430,108877,-1,110446,108835,110395,110682,110539,140
YAL021C,chrI,113359,110846,-1,113403,110616,113356,113623,113490,120
YAL020C,chrI,114615,113614,-1,114630,113537,114573,114863,114718,143
YAL019W,chrI,114919,118314,1,114809,118386,114863,114573,114718,143
YAL017W,chrI,120225,124295,1,119858,124459,119925,119609,119767,169
YAL016W,chrI,124879,126786,1,124798,126875,124840,124592,124716,101
YAL015C,chrI,128102,126903,-1,128102,126896,128041,128272,128157,84
YAL014C,chrI,129019,128252,-1,129067,128091,129018,129294,129156,129
YAL013W,chrI,129270,130487,1,129236,130583,129294,129018,129156,129
YAL012W,chrI,130799,131983,1,130744,132082,130757,130459,130608,151
YAL011W,chrI,132199,134076,1,132195,134178,132222,131997,132110,78
YAL010C,chrI,135665,134184,-1,135706,134136,135641,135868,135755,80
YAL009W,chrI,135854,136633,1,135813,136780,135868,135641,135755,80
YAL008W,chrI,136914,137510,1,136866,137637,136916,136694,136805,75
YAL007C,chrI,138345,137698,-1,138420,137522,138374,138666,138520,145
YAL005C,chrI,141431,139503,-1,141493,139357,141545,142202,141874,510
YAL003W,chrI,142174,143160,1,142153,143368,142202,141563,141883,492
YAL002W,chrI,143707,147531,1,143551,147565,143682,143315,143499,220
YAL001C,chrI,151166,147594,-1,151204,147539,151153,151396,151275,96
YAR002W,chrI,152257,153876,1,152215,153962,152270,151998,152134,125
YAR002C-A,chrI,154724,154065,-1,154740,153989,154714,154985,154850,124
YAR003W,chrI,155005,156285,1,154951,156285,154985,154714,154850,124
YAR007C,chrI,158619,156754,-1,158682,156681,158635,158915,158775,133
YAR008W,chrI,158966,159793,1,158868,159860,158915,158635,158775,133
YAR014C,chrI,168871,166742,-1,169021,166557,168970,169282,169126,165
YAR015W,chrI,169375,170295,1,169272,170390,169282,168970,169126,165
YAR018C,chrI,171703,170396,-1,171719,170263,171709,171981,171845,125
YAR019C,chrI,175135,172211,-1,175135,172119,175121,175359,175240,91
YAR027W,chrI,183770,184477,1,183688,184552,183728,183466,183597,115
YAR033W,chrI,188107,188811,1,188065,188904,188115,187846,187981,122
YAR042W,chrI,192619,196185,1,192595,196418,192628,192315,192472,166
YAR071W,chrI,225460,226863,1,225420,226913,225195,224965,225080,83
YBL108C-A,chrII,7733,7605,-1,7733,7527,8189,8467,8328,131
YBL106C,chrII,13879,10847,-1,13946,10773,13942,14185,14064,96
YBL105C,chrII,17696,14241,-1,17966,14104,17910,18196,18053,139
YBL103C,chrII,23536,22076,-1,23790,21715,23752,24041,23897,142
YBL102W,chrII,24098,24745,1,24010,24938,24041,23752,23897,142
YBL101C,chrII,28299,24946,-1,28583,24810,28379,28585,28482,59
YBL099W,chrII,37053,38690,1,36766,38922,36802,36232,36517,423
YBL098W,chrII,39145,40527,1,39125,40644,39167,38920,39044,100
YBL097W,chrII,40831,43095,1,40781,43308,40811,40539,40675,125
YBL093C,chrII,44918,44256,-1,44998,44039,44984,45620,45302,489
YBL092W,chrII,45645,46370,1,45582,46517,45620,44984,45302,489
YBL091C-A,chrII,47180,46565,-1,47193,46559,47125,47371,47248,99
YBL091C,chrII,48628,47363,-1,48659,47273,48599,48846,48723,100
YBL090W,chrII,48825,49358,1,48794,49477,48846,48599,48723,100
YBL089W,chrII,49574,50953,1,49510,51261,49609,49389,49499,73
YBL088C,chrII,59382,51019,-1,59438,50935,59345,59559,59452,67
YBL087C,chrII,60739,59822,-1,60762,59722,60780,61247,61014,320
YBL085W,chrII,63876,66818,1,63661,66929,63743,63444,63594,152
YBL084C,chrII,69445,67169,-1,69543,66923,69499,69772,69636,126
YBL082C,chrII,71127,69751,-1,71409,69658,71346,71601,71474,108
YBL080C,chrII,74695,73070,-1,74778,72965,74713,74972,74843,112
YBL079W,chrII,75259,79767,1,75206,79852,75240,74972,75106,121
YBL078C,chrII,80731,80378,-1,80813,80378,80703,80998,80851,148
YBL076C,chrII,84261,81043,-1,84269,80947,84249,84562,84406,166
YBL075C,chrII,86448,84499,-1,86448,84418,86582,86796,86689,67
